iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.162287683938	0.174178395358	0.54625	0.515	0.211117716
10	0.0388716219166	0.0938877959824	0.89875	0.725	1.136885201
20	0.0277509921137	0.108596666394	0.9175	0.705	1.556364457
30	0.0259166743864	0.130223535847	0.9175	0.7	2.276778107
40	0.0257079876562	0.136483446518	0.9175	0.69	2.612401944
50	0.0256845317916	0.136060876963	0.9175	0.7	3.00250123
60	0.0256822581915	0.134898505824	0.9175	0.705	3.376188957
70	0.025675790688	0.143879434809	0.9175	0.69	3.747588721
80	0.0256717537421	0.145775651118	0.9175	0.68	4.120410596
90	0.0256706127205	0.144439216835	0.9175	0.69	4.492821735
100	0.025670546558	0.148135607432	0.9175	0.68	4.831261878
110	0.0257309901941	0.146924797232	0.91625	0.675	5.175044765
120	0.0256698033394	0.14684377362	0.9175	0.68	5.523514804
130	0.0256726800548	0.15023659447	0.9175	0.675	5.937800076
140	0.0256696079228	0.153489700428	0.9175	0.665	6.283153621
150	0.0256695304522	0.154162688443	0.9175	0.665	6.663329821
160	0.0256703018611	0.156520485139	0.9175	0.665	7.03106091
170	0.0256694295047	0.15742196978	0.9175	0.66	7.408320882
180	0.0256693942523	0.158393603007	0.9175	0.655	7.756926796
190	0.0256694435109	0.161996208238	0.9175	0.65	8.125269457
200	0.0256693432153	0.159684108382	0.9175	0.655	8.520431818
210	0.0256693282227	0.159744688979	0.9175	0.655	8.898561014
220	0.0256693385539	0.1613083427	0.9175	0.655	9.305115828
230	0.0256692638682	0.161524992339	0.9175	0.655	9.667572746
240	0.0256692803894	0.161806019423	0.9175	0.65	10.089855566
250	0.0256692519184	0.161581017134	0.9175	0.66	10.535737559
260	0.0256692459643	0.161137458961	0.9175	0.66	10.932461869
270	0.0256692594445	0.161158551526	0.9175	0.655	11.291831567
280	0.025669215815	0.160968639566	0.9175	0.66	11.647774487
290	0.0256692514391	0.161242788518	0.9175	0.665	12.011778486
300	0.0256692188289	0.161523309367	0.9175	0.655	12.399170923
310	0.0256692014382	0.161718597431	0.9175	0.66	12.782664649
320	0.0256691998905	0.16304669604	0.9175	0.655	13.182366265
330	0.0256693757703	0.163668509632	0.9175	0.65	13.557730179
340	0.0256691653633	0.164858024763	0.9175	0.65	13.892078209
350	0.0256691612163	0.165386019394	0.9175	0.655	14.275257292
360	0.0256692535323	0.166167607248	0.9175	0.645	14.660839274
370	0.0256691692944	0.166191583751	0.9175	0.645	15.037263391
380	0.0256691609895	0.165876211316	0.9175	0.65	15.431733572
390	0.0256691764137	0.166292741041	0.9175	0.64	15.864004826
400	0.0256691626985	0.166387484058	0.9175	0.64	16.278609024
410	0.025669161681	0.165392407706	0.9175	0.645	16.678135388
420	0.0256691917269	0.165334864757	0.9175	0.645	17.086137177
430	0.0256691854062	0.16498589246	0.9175	0.645	17.436233111
440	0.02566915569	0.164988752904	0.9175	0.645	17.794149945
450	0.0256691692462	0.164897323758	0.9175	0.645	18.197949202
460	0.0256691569559	0.164724477675	0.9175	0.645	18.592258725
470	0.0256692743441	0.164448838677	0.9175	0.645	18.990971145
480	0.0256691504992	0.164256343731	0.9175	0.645	19.341451141
490	0.0256691516303	0.163790057892	0.9175	0.65	19.712779132
500	0.0256691528807	0.163128282082	0.9175	0.655	20.08970808
510	0.0256691482224	0.162123413943	0.9175	0.66	20.480041968
