iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.140633907182	0.142283182508	0.49125	0.485	0.140777682
10	0.121497169793	0.131116972876	0.5825	0.51	2.305287704
20	0.128362242075	0.140148948737	0.515	0.45	3.8721618
30	0.134170343516	0.126594240358	0.51125	0.52	5.401324994
40	0.128216550599	0.129648407796	0.5425	0.52	6.85684033
50	0.12681746553	0.129276446251	0.51125	0.495	8.331093353
60	0.128690198197	0.135087830871	0.47875	0.45	9.895487661
70	0.128260184447	0.141938593176	0.52875	0.435	11.316160461
80	0.134333210005	0.136761609182	0.505	0.495	12.711367751
90	0.13306581556	0.148483984367	0.50625	0.45	14.126749063
100	0.13295323673	0.14181758336	0.51375	0.47	15.536256798
110	0.12862820785	0.134659700155	0.50375	0.43	16.909304589
120	0.133467073551	0.140896896218	0.52	0.485	18.281309621
130	0.134175979587	0.14222539971	0.5	0.46	19.686425453
140	0.131007340155	0.140288771574	0.5025	0.44	21.107013079
150	0.132779378977	0.140642564261	0.515	0.455	22.488508641
160	0.131719583282	0.140512708396	0.50875	0.475	23.838233988
170	0.134345956555	0.142416761547	0.52	0.495	25.212166595
180	0.130303928688	0.135565046299	0.515	0.475	26.59756564
190	0.127811448833	0.136406082683	0.52375	0.475	28.020980941
200	0.129667102813	0.136025042749	0.51625	0.47	29.407649798
210	0.13169147748	0.135967868597	0.51375	0.48	30.891653664
220	0.13032694143	0.13918162045	0.51625	0.47	32.502086872
230	0.13157426637	0.135086258031	0.49	0.435	34.20699754
240	0.131189714409	0.138009172013	0.50625	0.46	35.685238801
250	0.1284155535	0.133971434529	0.53	0.48	37.085271447
260	0.128262432951	0.133595998998	0.52125	0.495	38.538432352
270	0.128418259649	0.133770972571	0.51875	0.5	39.90545687
280	0.129124956538	0.135218068984	0.52	0.485	41.413777716
290	0.128498777968	0.134884345155	0.51625	0.485	42.78419109
300	0.128854220063	0.135467696043	0.5225	0.48	44.170888998
310	0.12847749117	0.135019519241	0.5175	0.485	45.560291718
320	0.127580335249	0.134071571839	0.52125	0.47	46.969281152
330	0.127832521907	0.133990167006	0.525	0.47	48.392824462
340	0.128882883016	0.135113196018	0.51625	0.49	49.755964339
350	0.128447466887	0.134932293274	0.51375	0.485	51.221668746
360	0.127932241928	0.13373814144	0.515	0.48	52.614795975
370	0.128358315005	0.135060133922	0.515	0.475	54.111327001
380	0.128844735996	0.135435813401	0.51375	0.485	55.583166769
390	0.12859179667	0.135353396522	0.51375	0.485	57.140845218
400	0.128251724429	0.134371693211	0.51625	0.485	58.626402309
410	0.128538756545	0.135003738218	0.51375	0.485	60.115744502
420	0.128389599344	0.135607206146	0.51375	0.485	61.60150479
430	0.128489388222	0.135165092527	0.515	0.485	63.146427123
440	0.128500928821	0.135272995827	0.51375	0.48	64.61013076
450	0.128580214178	0.135397847634	0.51375	0.485	66.053695546
460	0.128866985472	0.134946784906	0.51375	0.485	67.652818233
470	0.128593615527	0.135197564579	0.515	0.485	69.193969065
480	0.128596578624	0.134782108471	0.51375	0.485	70.836928109
490	0.128562029802	0.134569633993	0.52	0.49	72.212054914
500	0.128141881795	0.134351427351	0.51875	0.48	73.641635139
510	0.128957843997	0.135577639927	0.52	0.485	75.05216657
520	0.128350440641	0.13456650964	0.52	0.48	76.490820387
530	0.128103932436	0.13439923256	0.52125	0.48	77.895290423
540	0.128507123901	0.134863071601	0.52125	0.48	79.401803346
550	0.12892659511	0.134781972617	0.52	0.48	80.824965069
560	0.128791844093	0.134681227833	0.5225	0.48	82.348725897
570	0.128383501299	0.134408611687	0.5175	0.485	83.906339002
580	0.128577366546	0.134542178097	0.52125	0.485	85.570080963
590	0.125499808962	0.130674655013	0.55625	0.53	87.183971945
600	0.128703876892	0.135229328678	0.5225	0.475	88.72182618
610	0.12593315641	0.131121625124	0.56	0.53	90.217521537
620	0.128350245457	0.134733458576	0.52	0.485	91.728254757
630	0.125943643795	0.131066431457	0.55625	0.53	93.271346786
640	0.125416340764	0.131094782686	0.5575	0.52	94.803977236
650	0.125878100272	0.13139051183	0.56625	0.495	96.218893246
660	0.125664611719	0.131202416137	0.56625	0.5	97.673595215
670	0.125827818994	0.131108163459	0.565	0.5	99.181063201
680	0.125895172353	0.130537990658	0.565	0.51	100.653003184
690	0.126076529146	0.131755419958	0.5625	0.485	102.09395577
700	0.125924004809	0.131915770871	0.56375	0.52	103.50925578
710	0.125679476717	0.13120371379	0.56125	0.495	105.02109821
720	0.125688871032	0.131207495961	0.56625	0.5	106.557141901
730	0.125527143409	0.131498313964	0.5625	0.505	108.026155106
740	0.125788849087	0.13150697723	0.565	0.5	109.485152833
750	0.125540258866	0.131008972636	0.565	0.515	111.022327402
760	0.124915681114	0.12866145433	0.565	0.515	112.552991206
770	0.125404990236	0.131464354118	0.5625	0.51	114.04029188
780	0.124129476978	0.128420550906	0.56625	0.54	115.559803902
790	0.124111145715	0.127767988551	0.5725	0.535	117.099659765
800	0.12476618009	0.128784758806	0.555	0.535	118.771160568
810	0.125851479375	0.130673710173	0.54625	0.535	120.316487909
820	0.125015800182	0.130448779064	0.56875	0.525	121.756353808
830	0.125433513959	0.130720954948	0.56125	0.525	123.220918717
840	0.125837178102	0.131068091748	0.55875	0.525	124.706853034
850	0.125776669113	0.131486037033	0.56125	0.525	126.221380103
860	0.125689215982	0.130555486144	0.56875	0.53	127.722679565
870	0.12585919918	0.131296861688	0.55625	0.52	129.185259234
880	0.126254478566	0.133012945254	0.5425	0.5	130.730309788
890	0.125427142957	0.130644956709	0.56	0.53	132.236240153
900	0.12665938677	0.132839985133	0.54	0.49	133.683246078
910	0.126478985008	0.13218329647	0.545	0.49	135.145099647
920	0.12695543196	0.133063060133	0.54	0.495	136.689331358
930	0.126161540832	0.132148281413	0.5475	0.515	138.130667599
940	0.126009332381	0.131605623392	0.5525	0.51	139.635841609
950	0.125929471597	0.131630520234	0.56	0.52	141.082868159
960	0.126238938742	0.131881954734	0.55	0.505	142.629764458
970	0.125836608967	0.132077632753	0.5475	0.51	144.085768708
980	0.126512040966	0.132781373855	0.54625	0.485	145.596152683
990	0.125953459093	0.132003640328	0.5475	0.52	147.057470861
1000	0.125869958706	0.131694942961	0.5475	0.51	148.575550706
1010	0.126815890998	0.13386598506	0.54125	0.49	150.114370906
1020	0.126342592935	0.132542684857	0.55125	0.49	151.696606484
1030	0.127386113846	0.133557517435	0.51625	0.46	153.162381666
1040	0.125533853363	0.130611459224	0.56	0.53	154.62534309
1050	0.126889004132	0.132732798732	0.51625	0.475	156.127806453
1060	0.126497801742	0.132159745888	0.55	0.49	157.659173218
1070	0.125517405526	0.130573120325	0.5525	0.505	159.119883182
1080	0.126165620093	0.132032458553	0.5475	0.49	160.610724808
1090	0.126407142922	0.132384943043	0.55125	0.485	162.064854672
1100	0.126231748969	0.132068490164	0.55375	0.485	163.585591799
1110	0.12635666601	0.132001408235	0.54625	0.48	165.034866257
1120	0.126130459596	0.132121463471	0.5525	0.49	166.591038426
1130	0.126442286278	0.132164416598	0.5525	0.485	168.4794195
1140	0.126191797518	0.131959678278	0.55625	0.485	170.131748125
1150	0.126312236475	0.132335078282	0.555	0.485	171.625523526
1160	0.126046856008	0.132715502031	0.5575	0.48	173.147193863
1170	0.125801616612	0.131711246386	0.55375	0.49	174.744288379
1180	0.126327799058	0.132085820421	0.5525	0.485	176.294540703
1190	0.126298232916	0.132185784006	0.5525	0.485	177.766148242
1200	0.126249312416	0.132058414951	0.55625	0.485	179.356047241
