iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.149366330479	0.155224681766	0.495	0.48	0.039361471
10	0.149301864598	0.155197625036	0.495	0.48	0.604390225
20	0.148904555388	0.154586304111	0.4975	0.48	0.921431206
30	0.148866324226	0.154532141791	0.49875	0.48	1.114695966
40	0.148678139349	0.154411353784	0.49875	0.48	1.267136578
50	0.148544444336	0.154160456764	0.49875	0.48	1.489940294
60	0.148505258891	0.154025343621	0.49875	0.48	1.929109706
70	0.148082641731	0.153342081588	0.49375	0.475	2.135475373
80	0.148075630233	0.153292554749	0.49625	0.475	2.292772777
90	0.147932060717	0.153208596423	0.49625	0.475	2.452045915
100	0.147860455289	0.153197249583	0.49625	0.475	2.623494159
110	0.147727610594	0.153229947634	0.4975	0.475	2.783395581
120	0.147613438422	0.152942130147	0.4975	0.475	2.94778746
130	0.147580163281	0.152964686438	0.4975	0.475	3.088183669
140	0.147550802056	0.152956121713	0.4975	0.475	3.239972859
150	0.147094999958	0.152364474378	0.4975	0.475	3.407672909
160	0.146774073415	0.152292980262	0.50125	0.475	3.557646817
170	0.146727313173	0.152234656355	0.5025	0.475	3.708535828
180	0.146563194403	0.152087936176	0.5025	0.475	3.849573347
190	0.146457679712	0.152022565744	0.50125	0.475	4.016937835
200	0.146359746301	0.1519314238	0.50125	0.475	4.172936596
210	0.146348316405	0.15193219364	0.5	0.475	4.334038886
220	0.146240179711	0.1518049845	0.5	0.475	4.474758806
230	0.146159781426	0.151575657804	0.5025	0.475	4.621592934
240	0.14583076153	0.151025800101	0.50125	0.475	4.786891676
250	0.145674136279	0.150946422456	0.50125	0.475	4.920924081
260	0.145385964505	0.150944219393	0.50125	0.47	5.075951985
270	0.145188783781	0.151039316544	0.5	0.47	5.235339794
280	0.145151408154	0.151048380162	0.5	0.475	5.373163664
290	0.144903537102	0.150817374073	0.5025	0.48	5.517991734
300	0.144760444576	0.150753170551	0.5025	0.48	5.672708544
310	0.144724410233	0.150668127494	0.5025	0.48	5.834004801
320	0.144637846633	0.150390599141	0.50125	0.48	5.977070632
330	0.144676955056	0.150345560945	0.5	0.48	6.130950828
340	0.144467499209	0.15024920833	0.50125	0.48	6.266182239
350	0.144189670384	0.149767871191	0.5	0.485	6.402985445
360	0.143999413742	0.149625629572	0.5	0.49	6.553753542
370	0.143839200915	0.149354578409	0.50125	0.49	6.70472242
380	0.143813357529	0.149377560781	0.50125	0.49	6.838780776
390	0.143786615843	0.149516568102	0.50125	0.485	6.971957459
400	0.14359410816	0.149211032805	0.5025	0.485	7.102986523
410	0.143513856037	0.149052956683	0.5025	0.48	7.254885469
420	0.143396302014	0.148976602764	0.5025	0.48	7.400014817
430	0.143266207738	0.148899180306	0.5025	0.48	7.550912149
440	0.143226491185	0.148982960102	0.50375	0.48	7.699493009
450	0.142978712802	0.148716801377	0.50375	0.48	7.860748871
460	0.143029522303	0.148605987293	0.50375	0.485	8.007223021
470	0.142433216746	0.147520381404	0.5075	0.485	8.15366578
480	0.142251215817	0.147394781343	0.50875	0.485	8.307990161
490	0.142199561782	0.147261153779	0.5125	0.485	8.475779987
500	0.142116931223	0.147107813072	0.51125	0.485	8.635048502
510	0.141706548043	0.145911391257	0.50875	0.49	8.808768692
520	0.141629290666	0.145875416124	0.51	0.49	8.980207996
530	0.141282506274	0.145474272829	0.51125	0.49	9.134016062
540	0.140979374253	0.145248944711	0.51375	0.49	9.288102685
550	0.140483666105	0.144817522051	0.5125	0.49	9.436166716
560	0.140254557677	0.14464480051	0.51375	0.49	9.60482874
570	0.140217822794	0.144572544143	0.515	0.49	9.773130878
580	0.140044955316	0.144308965082	0.515	0.49	9.957264548
590	0.139638697076	0.143939866534	0.51625	0.49	10.15255566
600	0.139395665079	0.143574643084	0.5175	0.49	10.332554398
610	0.139268540263	0.143531219426	0.5175	0.49	10.516776618
620	0.139147489236	0.143481853055	0.51625	0.49	10.701113124
630	0.138964858703	0.143477073132	0.51625	0.49	10.852844845
640	0.138765165963	0.143145404872	0.51625	0.49	11.01130739
650	0.138631417272	0.143030362227	0.51625	0.49	11.170897573
660	0.1385166825	0.143053460978	0.51625	0.49	11.325051193
670	0.136732993582	0.140331994579	0.5075	0.495	11.483599201
680	0.136469397232	0.140081560617	0.50875	0.5	11.644221639
690	0.136605024942	0.139674424397	0.5075	0.5	11.808655588
700	0.136170955579	0.139714856227	0.50875	0.5	11.952120606
710	0.13593883667	0.139450159515	0.50875	0.5	12.098484284
720	0.135926778572	0.139467022358	0.5075	0.495	12.258129173
730	0.135837872943	0.13971991446	0.51	0.5	12.406307547
740	0.135726173067	0.139695175907	0.51	0.5	12.56429113
750	0.13538747619	0.138984352406	0.51	0.5	12.738080831
760	0.135052844575	0.138104055221	0.51125	0.5	12.900274896
770	0.13454899098	0.137440116038	0.5125	0.5	13.073784034
780	0.134116425286	0.136971818313	0.515	0.51	13.234984079
790	0.134093316139	0.136939771008	0.515	0.51	13.388137181
800	0.134076022141	0.136861916125	0.51375	0.51	13.54807294
810	0.134041811061	0.136818146821	0.51375	0.51	13.715820351
820	0.134034254869	0.136765983173	0.51375	0.51	13.876792249
830	0.133953289835	0.136833430656	0.51375	0.51	14.031734093
840	0.133910143656	0.136601355214	0.51375	0.51	14.182955135
850	0.133567460798	0.13621573838	0.51375	0.505	14.340160036
860	0.133518199787	0.136274293805	0.51375	0.505	14.490228284
870	0.133459645781	0.136296529727	0.51375	0.51	14.638478312
880	0.133278177068	0.135957848869	0.515	0.51	14.806094921
890	0.133261227391	0.135964017951	0.515	0.51	14.954827763
900	0.132769819173	0.135890109604	0.515	0.51	15.108079643
910	0.132705914859	0.135867973906	0.515	0.51	15.248054534
920	0.132588162168	0.135834380468	0.515	0.515	15.424407448
930	0.131844102761	0.134194791096	0.51875	0.51	15.591229247
940	0.131705608334	0.134001009766	0.52125	0.51	15.747505002
950	0.131668233118	0.134011328718	0.52125	0.51	15.895668932
960	0.131653277102	0.133965471114	0.52125	0.51	16.061489336
970	0.131032318932	0.133439721788	0.5225	0.515	16.216067481
980	0.130762810127	0.133040719336	0.5225	0.515	16.372813525
990	0.130708986906	0.132978118694	0.5225	0.515	16.51187826
1000	0.130563956858	0.132975830608	0.5225	0.515	16.69467421
1010	0.130494707481	0.133020667869	0.5225	0.52	16.871322544
1020	0.130374192391	0.133002920731	0.5225	0.52	17.022505371
1030	0.128341273177	0.130030164632	0.52375	0.525	17.159097183
1040	0.128316711216	0.130196565112	0.52625	0.525	17.332133551
1050	0.128203960555	0.130118024621	0.52625	0.525	17.493048149
1060	0.128086559062	0.130209626535	0.525	0.53	17.638422252
1070	0.127852967612	0.130080447958	0.5275	0.53	17.776492175
1080	0.127777180039	0.129966539148	0.5275	0.53	17.937097761
1090	0.127434039339	0.129796356861	0.53	0.53	18.082523817
1100	0.127430069613	0.129768597257	0.53	0.53	18.257371563
1110	0.127408545006	0.129659513523	0.53	0.53	18.370100699
1120	0.128008768168	0.13068992014	0.5275	0.52	18.525558095
1130	0.126763682401	0.128892268951	0.53375	0.535	18.687951939
1140	0.126648639532	0.128847238079	0.53375	0.535	18.829710748
1150	0.126517435736	0.128669588552	0.53375	0.535	18.97105128
1160	0.126488658441	0.128650015712	0.53375	0.535	19.120840764
1170	0.126406236235	0.128680436396	0.53375	0.535	19.284217487
1180	0.126340669053	0.128451610276	0.53625	0.53	19.446334476
1190	0.126338146417	0.128467892276	0.53625	0.535	19.631622774
1200	0.126302421888	0.128450693554	0.53625	0.535	19.765564166
1210	0.126326727672	0.128596224265	0.53875	0.54	19.901910606
1220	0.126502174586	0.128113136609	0.53875	0.54	20.044752356
1230	0.125607870617	0.127515506497	0.53875	0.545	20.209440683
1240	0.125540113197	0.127511283444	0.54	0.545	20.354850609
1250	0.125503346394	0.127436724614	0.54125	0.545	20.500319826
1260	0.125392161008	0.127198149149	0.54375	0.545	20.662880137
1270	0.125345245324	0.127095076703	0.545	0.54	20.810095872
1280	0.125300368829	0.127010677902	0.54375	0.54	20.963837378
1290	0.125111976757	0.126918135477	0.545	0.54	21.11882593
1300	0.12467861386	0.126129296736	0.5475	0.545	21.262648086
1310	0.124587725191	0.126045838119	0.54875	0.545	21.41421474
1320	0.124554074568	0.125960781008	0.5475	0.545	21.580138492
1330	0.124444873865	0.126028876835	0.55	0.54	21.724832481
1340	0.124400577578	0.126242258356	0.55	0.54	21.872369312
1350	0.12400307815	0.125591353427	0.5525	0.54	22.019269764
1360	0.123903788509	0.125393204899	0.55125	0.54	22.186118968
1370	0.123833855267	0.125334623983	0.5525	0.54	22.327202404
1380	0.12369342896	0.125027280502	0.555	0.54	22.491898829
1390	0.123584911859	0.124898637127	0.555	0.54	22.66066429
1400	0.123554631788	0.124992046548	0.5525	0.535	22.813113124
1410	0.12329678576	0.124579423168	0.555	0.535	22.960761851
1420	0.123133395983	0.124566874412	0.555	0.535	23.115843855
1430	0.123058257966	0.124896291766	0.55375	0.535	23.271839004
1440	0.123038074201	0.124891087969	0.55375	0.535	23.420258311
1450	0.123063646272	0.124845054823	0.55375	0.535	23.572410654
1460	0.122937955246	0.124712250837	0.555	0.535	23.739915272
1470	0.122837683787	0.124511365993	0.55625	0.535	23.895240304
1480	0.122825495716	0.124558910737	0.5575	0.54	24.042405693
1490	0.122639466101	0.124398882532	0.55875	0.54	24.201411785
1500	0.122549289125	0.124336504821	0.56125	0.54	24.340396668
1510	0.122491732014	0.124178888051	0.56125	0.54	24.500571401
1520	0.122289171498	0.12410773663	0.56125	0.54	24.65955611
1530	0.122209584352	0.123811067176	0.56125	0.54	24.794793822
1540	0.122191037463	0.123887423011	0.56125	0.54	24.95725543
1550	0.122190354285	0.123875505373	0.56125	0.54	25.097853195
1560	0.12200992947	0.123834625061	0.5625	0.54	25.263702358
1570	0.12208075552	0.123804144102	0.56125	0.54	25.409174363
1580	0.122016485795	0.12403504477	0.56375	0.545	25.564853229
1590	0.121869135408	0.123435315066	0.565	0.545	25.705977349
1600	0.121770345631	0.123294391554	0.56375	0.545	25.845309529
1610	0.121748327559	0.123285572515	0.56375	0.545	25.993462469
1620	0.121534875347	0.122858291389	0.56375	0.55	26.174562532
1630	0.121319220134	0.122533870216	0.5625	0.55	26.314678131
1640	0.121214685876	0.122423374771	0.56	0.55	26.464215025
1650	0.121067019732	0.122346737084	0.56125	0.55	26.611732006
1660	0.120834153198	0.122196503742	0.5625	0.55	26.763515814
1670	0.1207131853	0.121869570979	0.5625	0.55	26.910470741
1680	0.120660494513	0.121734135139	0.56375	0.55	27.066085012
1690	0.120643464781	0.121708921347	0.56375	0.55	27.22677667
1700	0.120619620622	0.121764092542	0.565	0.55	27.381624843
1710	0.120560568071	0.121752701314	0.565	0.55	27.527702304
1720	0.120551624137	0.121745112543	0.565	0.55	27.707352226
1730	0.118663478501	0.119510481124	0.575	0.555	27.874006707
1740	0.118649246212	0.119418936248	0.575	0.555	28.032943266
1750	0.118603606304	0.11943895029	0.575	0.555	28.180571817
1760	0.118615395183	0.119533030466	0.575	0.555	28.314380256
1770	0.118389187072	0.119529440805	0.575	0.555	28.49998646
1780	0.118070451085	0.119475004995	0.57625	0.55	28.653450974
1790	0.11795254646	0.11949177024	0.58125	0.55	28.828248134
1800	0.117873619048	0.119246386536	0.58	0.55	28.987133247
1810	0.117800830061	0.119208723235	0.58	0.55	29.139843328
1820	0.117627090845	0.11908725959	0.5825	0.55	29.288875301
1830	0.117507770973	0.118908269162	0.58375	0.555	29.443789282
1840	0.117215907011	0.118907783918	0.585	0.56	29.580440311
1850	0.116998589321	0.11860712925	0.5875	0.565	29.733725649
1860	0.116937221454	0.118583136278	0.58625	0.565	29.900488058
1870	0.116419982808	0.117959529157	0.58125	0.565	30.060074107
1880	0.116288225815	0.11758560601	0.58125	0.565	30.222426677
1890	0.116228240232	0.117562929329	0.58125	0.565	30.385270421
1900	0.116098180541	0.117359098237	0.585	0.575	30.535983861
1910	0.115595896555	0.116165248229	0.59125	0.585	30.697280932
1920	0.115517873236	0.116258061011	0.59125	0.58	30.850008243
1930	0.115466559487	0.116123665751	0.58875	0.585	31.013672814
1940	0.115375245982	0.116107181237	0.5925	0.58	31.170630172
1950	0.115355738917	0.116213548244	0.59125	0.575	31.319401858
1960	0.115333241425	0.116265209281	0.59125	0.575	31.471245764
1970	0.115334103202	0.116136897547	0.59125	0.58	31.611144947
1980	0.115319122263	0.11622373184	0.59125	0.58	31.76202133
1990	0.115232670734	0.116215396847	0.59125	0.58	31.908355806
2000	0.115187619755	0.116170131015	0.59125	0.58	32.067318993
2010	0.11516419021	0.116196700704	0.59	0.58	32.225651505
2020	0.114978891843	0.116274954152	0.59125	0.575	32.396920702
2030	0.114950639396	0.116331128556	0.59125	0.575	32.56496651
2040	0.114597613849	0.116403605682	0.5925	0.57	32.718282799
2050	0.114544062589	0.116286664031	0.5925	0.57	32.864070094
2060	0.114552409827	0.115949339345	0.59125	0.575	33.030423288
2070	0.114505668925	0.116265030636	0.5925	0.57	33.182469967
2080	0.114457686495	0.116147723051	0.5925	0.57	33.336944507
2090	0.11447610463	0.116178385166	0.5925	0.57	33.486600054
2100	0.11432879687	0.116178982398	0.59375	0.58	33.644717781
2110	0.114317003576	0.116095508476	0.595	0.585	33.795814529
2120	0.114044531983	0.116055532389	0.595	0.585	33.958936912
2130	0.114022511784	0.116041097714	0.595	0.585	34.107935718
2140	0.113975936992	0.11609695119	0.59625	0.585	34.254598976
2150	0.113862722015	0.115803019641	0.59875	0.585	34.431479405
2160	0.11352883102	0.115362260825	0.6025	0.585	34.570130893
2170	0.113335890711	0.115328608811	0.60375	0.585	34.747041602
2180	0.113277561785	0.115110763887	0.60625	0.585	34.903209411
2190	0.113298079716	0.115049480006	0.60625	0.585	35.060426369
2200	0.1128839753	0.114835645334	0.605	0.59	35.215359653
2210	0.112581351776	0.114512891615	0.60875	0.6	35.402598053
2220	0.112538789079	0.114431447149	0.61625	0.6	35.609380616
2230	0.112448387835	0.114379725854	0.6175	0.6	35.770337564
2240	0.112400462847	0.114455227149	0.6175	0.6	35.950800731
2250	0.112336080451	0.114309385625	0.6175	0.6	36.113224088
2260	0.111958702699	0.113997318483	0.6175	0.605	36.297844023
2270	0.111858694243	0.113959366151	0.62	0.605	36.466639312
2280	0.111819181785	0.11386148529	0.62	0.6	36.610374719
2290	0.111604161037	0.113526657379	0.62	0.6	36.772918973
2300	0.111527039514	0.113182631172	0.61875	0.595	36.914775199
2310	0.111398821313	0.112937442936	0.61875	0.6	37.078978834
2320	0.111247723409	0.112893133711	0.62	0.595	37.230555079
2330	0.111193839634	0.112824010577	0.61875	0.595	37.378100716
2340	0.111124369753	0.112861641112	0.61875	0.59	37.527650304
2350	0.111021996094	0.112689884498	0.61875	0.59	37.666184756
2360	0.110987420842	0.112676716652	0.62125	0.59	37.812890301
2370	0.110894140165	0.112661598105	0.62375	0.59	37.976097541
2380	0.108750735636	0.109434903513	0.63125	0.605	38.131784063
2390	0.108589005299	0.109592582025	0.6325	0.595	38.27153869
2400	0.108418381219	0.109520492273	0.63375	0.59	38.450456617
2410	0.108672913259	0.10976392822	0.63	0.585	38.629615657
2420	0.108415026786	0.109654189131	0.6325	0.585	38.770062921
2430	0.108247429379	0.109418236769	0.63375	0.585	38.921113605
2440	0.108203607955	0.109490746028	0.6325	0.585	39.073574219
2450	0.107862727719	0.109787607658	0.63375	0.585	39.237716327
2460	0.10783383044	0.109797979914	0.63375	0.59	39.386454866
2470	0.107777851985	0.109748667516	0.63375	0.59	39.540211694
2480	0.107747316721	0.109759336313	0.635	0.59	39.689239041
2490	0.107656447297	0.109546930559	0.635	0.59	39.83300873
2500	0.107648750123	0.109377237821	0.63375	0.59	39.981488183
