iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.133027657736	0.130897806039	0.47375	0.47	0.014813259
10	0.132899138983	0.130956163797	0.48125	0.47	0.339860014
20	0.132959331557	0.130826012574	0.48125	0.475	0.570787057
30	0.132839266599	0.130140012586	0.48625	0.49	0.766424696
40	0.133050533516	0.130357607259	0.48625	0.49	0.937750795
50	0.132867501284	0.130075733598	0.48625	0.495	1.119976225
60	0.132684222734	0.129893309463	0.485	0.495	1.309718578
70	0.132761644426	0.12996639238	0.48625	0.495	1.477049211
80	0.132306516437	0.129769837238	0.49125	0.495	1.676413502
90	0.132268224582	0.129935164774	0.4925	0.495	1.8489179
100	0.133311989733	0.133224171635	0.53375	0.54	2.013246818
110	0.132759317569	0.133042643778	0.53375	0.545	2.197061098
120	0.132884830105	0.133218675272	0.52875	0.535	2.34500424
130	0.132235063842	0.132614882816	0.5325	0.54	2.499059535
140	0.132326697264	0.13283569535	0.5275	0.54	2.653527489
150	0.132257455751	0.132623451305	0.53	0.54	2.811045125
160	0.132345391268	0.132886431381	0.52875	0.525	2.979343432
170	0.132287929144	0.132935092058	0.525	0.53	3.149434364
180	0.131981931147	0.131691757861	0.525	0.545	3.328749942
190	0.131757974044	0.131530306452	0.5275	0.545	3.476136972
200	0.13168959208	0.131610074604	0.5275	0.545	3.662896114
210	0.131584533036	0.131211893736	0.52875	0.555	3.837257186
220	0.131548406422	0.131211022992	0.52875	0.555	4.0178041
230	0.131438187862	0.131055012166	0.53	0.555	4.197755933
240	0.130536928941	0.130601985163	0.52875	0.555	4.354531275
250	0.130533558602	0.130642047797	0.52875	0.555	4.535271833
260	0.130504549186	0.130580857171	0.53	0.555	4.68576493
270	0.133184637772	0.132572391975	0.51625	0.55	4.842079911
280	0.12972426417	0.129810438752	0.54	0.565	5.017130196
290	0.129615358216	0.129712262065	0.54125	0.565	5.176684416
300	0.12954287129	0.129612661626	0.54125	0.565	5.338835492
310	0.129112299966	0.129502853487	0.54	0.55	5.511259861
320	0.129064248347	0.129266500992	0.54	0.55	5.676344748
330	0.128999870551	0.129241134562	0.54375	0.555	5.852168832
340	0.128619994306	0.128804491295	0.54375	0.555	6.019273356
350	0.128595207672	0.128707247888	0.55	0.565	6.202579383
360	0.128179803168	0.128488255444	0.55	0.57	6.383210503
370	0.127966887405	0.128356955242	0.55	0.57	6.547870151
380	0.127935060666	0.128373770351	0.54875	0.57	6.725006547
390	0.127643521004	0.128125243369	0.55125	0.57	6.883114032
400	0.127556920378	0.127926041474	0.55	0.57	7.040128331
410	0.127237362327	0.127409730494	0.555	0.57	7.207808554
420	0.126636184672	0.127864003604	0.5175	0.51	7.372207848
430	0.126309336298	0.126998527194	0.52	0.51	7.536302858
440	0.126079506005	0.127092943679	0.52125	0.51	7.680180968
450	0.125677348371	0.126730654985	0.57125	0.54	7.832959829
460	0.12541875772	0.126529634039	0.5725	0.54	8.007878061
470	0.125436085293	0.126492823275	0.5725	0.535	8.16219224
480	0.125061115047	0.126099284366	0.575	0.545	8.337077234
490	0.12503772557	0.126806160022	0.575	0.545	8.48743724
500	0.124754208625	0.126546708201	0.575	0.545	8.656188389
510	0.124736589521	0.126540352503	0.575	0.545	8.84391981
520	0.124461730372	0.126257002233	0.5775	0.545	9.012114132
530	0.124420244962	0.126282506992	0.57875	0.535	9.156917255
540	0.124207782215	0.125766646737	0.58	0.55	9.330107594
550	0.124138996461	0.125746635755	0.58	0.55	9.503805636
560	0.124076094475	0.12566275768	0.58	0.55	9.665752134
570	0.124021397128	0.125777083888	0.5825	0.55	9.815864057
580	0.123964993573	0.125784858211	0.5825	0.55	9.978459774
590	0.123792567283	0.125253780889	0.58625	0.545	10.14105123
600	0.123763509578	0.125277425242	0.58625	0.545	10.299698234
610	0.123720146574	0.125316931881	0.58625	0.54	10.47102773
620	0.123793318367	0.125205625736	0.58125	0.535	10.641541546
630	0.123679910425	0.125011262328	0.58625	0.54	10.798465396
640	0.123671369002	0.124997517079	0.58625	0.54	10.983274337
650	0.123157218475	0.124887476796	0.5425	0.525	11.166855099
660	0.123055274622	0.125098476565	0.5425	0.525	11.345539002
670	0.122863469168	0.124185330577	0.545	0.535	11.52182239
680	0.122702455565	0.123997538318	0.54375	0.53	11.676438799
690	0.122411574604	0.123759791777	0.54625	0.535	11.86565048
700	0.122402618282	0.123803916805	0.54625	0.535	12.037928927
710	0.122135016944	0.123522127644	0.54625	0.535	12.230427406
720	0.122071247443	0.123388152498	0.54875	0.54	12.4008173
730	0.121881970735	0.123112888092	0.54875	0.54	12.563678813
740	0.121625554984	0.122725210995	0.55375	0.535	12.727036879
750	0.121538740082	0.122829472777	0.555	0.535	12.906455194
760	0.121476052827	0.122871974921	0.555	0.53	13.055471033
770	0.12146832773	0.122928359818	0.555	0.53	13.220675366
780	0.121377425501	0.122813002892	0.55375	0.525	13.364140025
790	0.121171356704	0.121409191771	0.5475	0.555	13.510129086
800	0.12108205591	0.121360090527	0.54875	0.555	13.6640082
810	0.120950365559	0.12136830252	0.5425	0.54	13.826508887
820	0.120857778701	0.121426420916	0.54375	0.54	13.990871743
830	0.120781807758	0.121305415538	0.5425	0.54	14.143800472
840	0.120675234307	0.121527879668	0.54125	0.54	14.293679323
850	0.120532517952	0.121485117524	0.5475	0.535	14.439841636
860	0.120327745871	0.12106630517	0.5475	0.535	14.579369916
870	0.120170461211	0.121332184087	0.54875	0.535	14.720853597
880	0.120120622285	0.121345592695	0.54875	0.535	14.887898307
890	0.119775321292	0.12117883642	0.55375	0.545	15.054642563
900	0.119529412181	0.121272011569	0.56125	0.545	15.207510085
910	0.119519596864	0.121270022634	0.56125	0.545	15.370951789
920	0.119035347451	0.120537726945	0.565	0.555	15.564022536
930	0.11901567442	0.120542516217	0.565	0.555	15.762441419
940	0.118985192181	0.120458646328	0.56625	0.555	15.946435785
950	0.118951460673	0.120547306392	0.56375	0.555	16.104520567
960	0.11885947121	0.120553100852	0.56375	0.55	16.259837976
970	0.118648727448	0.12078036573	0.56	0.56	16.421018914
980	0.117610151477	0.120481863153	0.57	0.56	16.570891888
990	0.117342820464	0.120220014801	0.57125	0.565	16.695565134
1000	0.117290734831	0.120078741544	0.57	0.57	16.883217233
1010	0.117125847015	0.120249764207	0.57125	0.57	17.073772643
1020	0.116809051572	0.119889389137	0.5725	0.575	17.23801856
1030	0.116755014139	0.11981398726	0.57375	0.575	17.411894271
1040	0.116596160451	0.119434494403	0.57375	0.58	17.570785321
1050	0.1165413343	0.119566617619	0.575	0.58	17.726039998
1060	0.115818680492	0.118493689777	0.575	0.58	17.878233998
1070	0.115894152158	0.119047817957	0.57875	0.58	18.011337302
1080	0.115671054147	0.118591153071	0.575	0.575	18.169419607
1090	0.115518177938	0.118242675804	0.575	0.58	18.300780541
1100	0.115443293534	0.118074080165	0.58	0.585	18.442050654
1110	0.114749504442	0.11784707817	0.585	0.585	18.588674468
1120	0.11481910478	0.118771706675	0.58875	0.575	18.766095322
1130	0.114256954087	0.117456564881	0.58875	0.575	18.898276354
1140	0.114053929633	0.117285430549	0.58875	0.575	19.036677484
1150	0.113918732033	0.117109508459	0.59	0.58	19.160758966
1160	0.113920640773	0.117133273495	0.59	0.575	19.315442795
1170	0.113783781335	0.117218413036	0.59125	0.58	19.453444482
1180	0.113732160631	0.117286304728	0.5925	0.58	19.604383995
1190	0.113660343551	0.117241601917	0.5925	0.575	19.75933186
1200	0.113509027095	0.117365392822	0.595	0.575	19.928023443
1210	0.113464317624	0.117202539171	0.595	0.575	20.078409243
1220	0.113456571991	0.117217124494	0.595	0.575	20.231271983
1230	0.113060444481	0.117286083572	0.5975	0.57	20.388274348
1240	0.112889934126	0.11706918647	0.59875	0.575	20.529553356
1250	0.112849581759	0.117027731462	0.59875	0.575	20.694528801
1260	0.112713947085	0.117090347364	0.59625	0.57	20.837182798
1270	0.112608336107	0.117010909978	0.595	0.58	21.001250581
1280	0.112561411048	0.116967973604	0.59625	0.58	21.164530674
1290	0.111697238075	0.11672354592	0.5975	0.575	21.329983201
1300	0.111596519268	0.116656925184	0.59875	0.575	21.526363675
1310	0.111443946463	0.11630558015	0.60125	0.57	21.719801708
1320	0.11140424743	0.116183885332	0.60125	0.57	21.902471716
1330	0.111319489437	0.115994397926	0.6025	0.57	22.082270165
1340	0.111181920639	0.11595556765	0.6025	0.57	22.248010067
1350	0.110842115158	0.116533661288	0.60875	0.58	22.395823394
1360	0.110252518846	0.115896228996	0.61125	0.585	22.58597199
1370	0.109855186987	0.116026390958	0.64625	0.6	22.810340678
1380	0.109820478602	0.116033634748	0.6475	0.6	22.991148012
